lakeID,WBIC,lakeName,actuallyFS,campgrounds
AR,1541500,Arrowhead Lake,1,0
BH,2311100,Birch Lake,1,0
CA,1839100,Camp Lake,1,0
FD,1593800,Found Lake,1,0
JS,1541100,Johnson Lake,1,0
LC,2335500,Little Crooked Lake,1,0
LH,1620500,Lake of the Hills,1,0
LR,1540400,Little Spider Lake,1,0
OB,2954800,Oxbow Lake,1,0
TO,1022900,Towanda Lake,1,0
WC,2336800,Wildcat Lake,1,0
AQ,2332400,Allequash Lake,1,1
BK,1630100,Black Oak Lake,1,0
HT,991700,Hunter Lake,1,0
MS,1595600,Muskellunge Lake,1,0
WS,2045000,Wabasso Lake,1,1
AV,968800,Anvil Lake,1,0
BOT,1619100,Boot Lake,1,0
BY,1541300,Brandy Lake,1,0
DS,1601300,Deerskin Lake,1,0
DY,1843500,Day Lake,1,1
ER,983600,Erickson Lake,1,0
ID,2764400,Indian Lake,1,0
IV,2340900,Irving Lake,1,0
LE,1000400,Lone Tree Lake,1,0
LK,1862100,Little Rock Lake,1,0
LL,1831700,Lake Adelaide,1,0
LT,1593400,Lost Lake,1,0
LV,1545300,Little Arbor Vitae Lake,1,0
NH,1870400,Nichols Lake,1,0
PK,1619700,Pickerel Lake,1,0
PN,1623400,Pioneer Lake,1,0
PT,2341500,Partridge Lake,1,0
RN,2310800,Rainbow Lake,1,0
SA,717400,Spectacle Lake,1,1
SE,1884200,Street Lake,1,0
SM,1020300,Stormy Lake,1,0
SV,1599800,Silver Lake,1,0
UG,2330800,Upper Gresham Lake,1,0
WN,2338100,Whitney Lake,1,0
WB,2340500,White Birch Lake,1,0
LA,1630700,Landing Lake,0,0
PM,2962900,Palmer Lake,0,0
BL,2340700,Ballard Lake,0,0
BT,2336700,Big Kitten Lake,0,0
